,ID,Name,Type,Breed,Gender,Age,URL
29,46665365,Marisol,Dog,Hound,Female,Adult,https://www.petfinder.com/dog/marisol-46665365/oh/cincinnati/league-for-animal-welfare-oh316/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
30,46665366,Opal - Adoption Pending,Cat,Domestic Short Hair,Female,Young,https://www.petfinder.com/cat/opal-adoption-pending-46665366/wa/bellevue/seattle-humane-the-humane-society-for-seattle-king-county-wa06/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
31,46665363,Albus,Dog,Chihuahua,Male,Adult,https://www.petfinder.com/dog/albus-46665363/oh/cincinnati/league-for-animal-welfare-oh316/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
32,46665364,Calliopie,Dog,Boxer,Female,Adult,https://www.petfinder.com/dog/calliopie-46665364/oh/cincinnati/league-for-animal-welfare-oh316/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
33,46665358,Linde,Cat,Domestic Short Hair,Female,Baby,https://www.petfinder.com/cat/linde-46665358/wi/verona/angels-wish-inc-wi99/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
34,46665359,Cat Benatar,Cat,Domestic Long Hair,Female,Baby,https://www.petfinder.com/cat/cat-benatar-46665359/wi/verona/angels-wish-inc-wi99/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
35,46665360,Meowryl Streep,Cat,Domestic Short Hair,Female,Adult,https://www.petfinder.com/cat/meowryl-streep-46665360/tn/memphis/humane-society-of-memphis-and-shelby-county-tn74/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
36,46665361,Travis,Dog,Border Collie,Male,Adult,https://www.petfinder.com/dog/travis-46665361/tn/memphis/humane-society-of-memphis-and-shelby-county-tn74/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
37,46665362,Cobbler,Dog,Boxer,Female,Adult,https://www.petfinder.com/dog/cobbler-46665362/tn/memphis/humane-society-of-memphis-and-shelby-county-tn74/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
38,46665357,Hearst,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/hearst-46665357/wi/verona/angels-wish-inc-wi99/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
